strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
supertrend,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,17968.32458561908,0.796832458561908,0.10278895103792936,0.07462530036680308,1.3774008349891669,1.2792487844959868,-0.08035102497841973,0.3745173745173745,1.7148582365761826,197.0623150677649,-68.80691343181557,259,518,259,259,787.2892946732544
adaptive_regime,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,13830.55539234558,0.3830555392345578,0.05964482179320924,0.09360571210995733,0.6371921162514965,0.30131170809984953,-0.19795056146023593,0.36701620591039086,1.127107329845149,88.30189080784942,-45.42525555445482,1049,2099,1050,1049,2950.7770162856195
macd_volume,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10809.378206272817,0.08093782062728172,0.01433136612718636,0.045523544105559935,0.31481217924597427,0.13336522414504348,-0.107459543662347,0.3444676409185804,1.103035916980176,52.51321110951116,-25.01688416177228,479,958,479,479,1027.4557253333858
multi_factor,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,19073.014590282564,0.9073014590282564,0.11572178325572346,0.10402943299428881,1.112394636054242,0.6860324907416816,-0.16868265689563566,0.29004329004329005,1.2215301835232282,149.3406707635067,-49.94647575060025,1155,2310,1155,1155,4079.68945763978
ma_cross,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,18419.070223051014,0.8422755695327864,0.11624650306538427,0.15324389800912072,0.7585718229231351,0.3844812830599431,-0.3023463252614984,0.2805241215008934,1.1796654283860926,115.77538187777995,-38.26584807892716,1679,3359,1680,1679,4766.378465082384
trend_following,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,13683.446269371943,0.3683446269371944,0.055882447852336356,0.07802792424363232,0.7161852425694972,0.42687731398528017,-0.13090985634771035,0.18556701030927836,1.5904839297427407,183.73072217221463,-26.320728809821272,291,582,291,291,713.2884032078668
dual_momentum,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,13439.431932207961,0.34394319322079614,0.05308655552214255,0.07170696373695379,0.7403263609953179,0.6351406857467258,-0.08358235696882543,0.29086538461538464,1.43814087964535,93.30158128477176,-26.61037085847263,416,832,416,416,1053.8708916591354
atr_breakout,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,15221.630137441374,0.5221630137441373,0.07630453243479403,0.10108755821161419,0.7548360429708388,0.40094344457737424,-0.19031245794484564,0.4010889292196007,1.2006252004656535,141.4780440644609,-78.91506637698156,551,1103,552,551,1435.4420929913576
bollinger_squeeze,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,10538.491843086795,0.053849184308679465,0.009228060870461496,0.027240091976203546,0.3387676105566823,0.22351897369813098,-0.0412853580953747,0.3815789473684211,1.2538649466695806,91.71263140199397,-45.13137165044744,76,152,76,76,160.38301915127388
enhanced_trend,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,8545.063769249564,-0.14549362307504365,-0.025555012232184326,0.0415397411451605,-0.6151943061529253,-0.09961486281558413,-0.25653814611374226,0.2653061224489796,0.6855340807893453,81.32701214109449,-42.83971948382511,147,294,147,147,287.54878741445015
enhanced_breakout,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,11195.886728814019,0.11958867288140196,0.020739495091903662,0.05110502839906585,0.40582102664239866,0.2404436271729137,-0.08625512489357234,0.39622641509433965,1.2350369349335606,149.61825554087304,-79.50125006097889,106,212,106,106,237.28435349962908
ensemble,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,22751.770196571844,1.2751770196571846,0.1488965358901913,0.12513445488555483,1.189892392348525,1.005758772192356,-0.1480439843091007,0.3533834586466165,1.6707022731976344,225.2789691313945,-73.69211027501838,399,798,399,399,1373.68229959549
supertrend,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,27862.480912144787,1.7862480912144787,0.18387276032232633,0.137920234321173,1.3331819020319462,1.6546646808927334,-0.11112388053237932,0.3815789473684211,2.0981917138316772,389.68646720926773,-114.59622106239874,228,457,229,228,862.3684987231957
adaptive_regime,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,17053.32651007912,0.7053326510079121,0.1017348701123824,0.14178488334870787,0.7175297373659828,0.40054676272672224,-0.25398999462490146,0.368692070030896,1.1828163322233736,127.47155475054912,-62.938809283225886,971,1942,971,971,3140.211781511275
macd_volume,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,13316.956806922364,0.3316956806922364,0.05186152727621444,0.07488000642407483,0.692595123213661,0.3995006205904263,-0.12981588664159827,0.3071253071253071,1.31621004609832,110.45346409741656,-37.19761065693163,407,814,407,407,997.5250013306104
multi_factor,data/ohlcv_full_XRPKRW_1h.parquet,XRPKRW,1h,51352,2020-01-01 09:00:00+09:00 ~ 2025-11-13 13:00:00+09:00,10000,18760.41342914936,0.8760413429149361,0.12055577610306153,0.15567428669524738,0.7744103323774382,0.58198455895319,-0.20714600455950594,0.2825370675453048,1.2138171990629247,143.10470231516987,-46.42763727114993,1214,2429,1215,1214,3592.172175377027
ma_cross,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,25504.127343914923,1.5511041931353367,0.16702675582977572,0.12444174332746205,1.3422084210835201,0.7244700757982891,-0.23055024825560322,0.33678756476683935,1.582471855620115,324.0149311800081,-103.9758348026802,386,772,386,386,2464.38105455235
trend_following,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,9774.351428891932,-0.022564857110806802,0.0003929926210555764,0.09902214110057671,0.003968734837317296,0.0013801341480192558,-0.2847495814940978,0.18681318681318682,0.9672308365980035,391.7855790798034,-93.0541002089828,91,182,91,91,558.0407849523194
dual_momentum,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,16158.793342098441,0.6158793342098441,0.08570842023844794,0.08623477993368192,0.9938962017803874,0.9748929803783629,-0.08791572199464293,0.3142857142857143,2.226691308381537,338.7711493132527,-69.73131368387342,105,210,105,105,833.8795445517304
atr_breakout,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,23119.794232744036,1.3119794232744035,0.1479903686160455,0.1034912114616983,1.4299800584456988,1.1831456533562785,-0.12508212171092536,0.5198019801980198,1.6858776751696127,307.12637739712034,-197.2007772572536,202,404,202,202,1333.1200596363446
